epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,802.179,0.82153,0.61087,0.93554,0.96047,0.99262,0.99296,0.5314,1.42968,0.72735,1.22803,0.000297232,0.000297232,0.000297232
90,810.866,0.83952,0.63063,0.94797,0.96836,1,0.99407,0.52788,1.47017,0.72979,1.24004,0.000284371,0.000284371,0.000284371
91,819.765,0.8044,0.61028,0.94144,0.9658,1,0.99407,0.50819,1.48928,0.72852,1.24088,0.00027151,0.00027151,0.00027151
92,828.666,0.80765,0.60401,0.93499,0.96613,1,0.99407,0.50347,1.48471,0.72542,1.2386,0.000258649,0.000258649,0.000258649
93,837.397,0.80462,0.64337,0.95965,0.96496,1,0.99185,0.50147,1.45206,0.72243,1.22185,0.000245788,0.000245788,0.000245788
94,846.141,0.78649,0.61893,0.91898,0.9611,1,0.98963,0.5109,1.4177,0.73121,1.19913,0.000232927,0.000232927,0.000232927
95,854.936,0.82234,0.62416,0.92136,0.95926,1,0.98852,0.53179,1.41332,0.73882,1.19264,0.000220066,0.000220066,0.000220066
96,863.693,0.81849,0.60998,0.91766,0.95582,1,0.98741,0.5254,1.42245,0.74314,1.19523,0.000207205,0.000207205,0.000207205
97,872.597,0.83596,0.61335,0.93386,0.95514,1,0.98963,0.51279,1.45718,0.75114,1.21391,0.000194344,0.000194344,0.000194344
98,881.278,0.8206,0.60637,0.93455,0.95305,1,0.99185,0.51149,1.50606,0.77405,1.24267,0.000181483,0.000181483,0.000181483
99,890.378,0.83219,0.61281,0.94695,0.95255,1,0.99074,0.48506,1.54179,0.77889,1.26415,0.000168622,0.000168622,0.000168622
100,901.324,0.87817,0.62392,0.95165,0.95219,1,0.99074,0.48091,1.56369,0.78376,1.27471,0.000155761,0.000155761,0.000155761
101,911.113,0.80873,0.62678,0.94658,0.95364,1,0.99074,0.49154,1.54739,0.78267,1.26607,0.0001429,0.0001429,0.0001429
102,919.633,0.78676,0.61611,0.93409,0.95475,1,0.99185,0.49447,1.50329,0.7595,1.23657,0.000130039,0.000130039,0.000130039
103,928.102,0.72316,0.59513,0.88551,0.95568,1,0.99185,0.53077,1.46394,0.73864,1.21274,0.000117178,0.000117178,0.000117178
104,936.539,0.75256,0.59216,0.92016,0.95601,1,0.98963,0.53389,1.44542,0.72701,1.20058,0.000104317,0.000104317,0.000104317
105,945.018,0.75825,0.61927,0.92352,0.95703,1,0.98963,0.53322,1.43895,0.72191,1.19725,9.1456e-05,9.1456e-05,9.1456e-05
106,953.688,0.7559,0.60407,0.91032,0.95699,0.99881,0.98852,0.53416,1.44063,0.72401,1.19898,7.8595e-05,7.8595e-05,7.8595e-05
107,962.254,0.76048,0.58275,0.90387,0.95676,0.99835,0.98741,0.518,1.44558,0.72533,1.20315,6.5734e-05,6.5734e-05,6.5734e-05
108,970.569,0.74658,0.5738,0.90827,0.95702,1,0.98741,0.51571,1.45021,0.72677,1.20892,5.2873e-05,5.2873e-05,5.2873e-05
109,978.972,0.76127,0.59118,0.89795,0.95774,1,0.98852,0.51548,1.45487,0.72824,1.21512,4.0012e-05,4.0012e-05,4.0012e-05
110,987.298,0.74684,0.59409,0.90483,0.95811,1,0.98852,0.513,1.45793,0.72845,1.21936,2.7151e-05,2.7151e-05,2.7151e-05
